origin_port,origin_port__STATUS,dest_port,dest_port__STATUS,distance_nm,distance_nm__STATUS,speed_kn_assumed,speed_kn_assumed__STATUS,voyage_time_hours,voyage_time_hours__STATUS,fleet_speed_source,fleet_speed_source__STATUS,ghg_hfo_reference_mean,ghg_hfo_reference_mean__STATUS,cii_hfo_reference_mean,cii_hfo_reference_mean__STATUS,cargo_tonnage,cargo_tonnage__STATUS,fuel_price_usd_per_tonne,fuel_price_usd_per_tonne__STATUS,carbon_price_usd_per_tCO2,carbon_price_usd_per_tCO2__STATUS
 Busan,REAL, Suez Canal,REAL,4957.25,DERIVED,17.603,DERIVED,281.62,DERIVED,ship_performance.csv fleet-wide mean (all ship types),REAL,0.048715,DERIVED,0.034115,DERIVED,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT
 Busan,REAL, Antwerp,REAL,5370.45,DERIVED,17.603,DERIVED,305.09,DERIVED,ship_performance.csv fleet-wide mean (all ship types),REAL,0.048715,DERIVED,0.034115,DERIVED,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT
 Busan,REAL, Plymouth,REAL,5640.14,DERIVED,17.603,DERIVED,320.41,DERIVED,ship_performance.csv fleet-wide mean (all ship types),REAL,0.048715,DERIVED,0.034115,DERIVED,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT
 Busan,REAL, London,REAL,5465.1,DERIVED,17.603,DERIVED,310.47,DERIVED,ship_performance.csv fleet-wide mean (all ship types),REAL,0.048715,DERIVED,0.034115,DERIVED,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT
 Busan,REAL, Rotterdam,REAL,5352.77,DERIVED,17.603,DERIVED,304.09,DERIVED,ship_performance.csv fleet-wide mean (all ship types),REAL,0.048715,DERIVED,0.034115,DERIVED,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT
 Busan,REAL, Hamburg,REAL,5130.07,DERIVED,17.603,DERIVED,291.43,DERIVED,ship_performance.csv fleet-wide mean (all ship types),REAL,0.048715,DERIVED,0.034115,DERIVED,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT
 Shanghai,REAL, Hong Kong,REAL,656.19,DERIVED,17.603,DERIVED,37.28,DERIVED,ship_performance.csv fleet-wide mean (all ship types),REAL,0.048715,DERIVED,0.034115,DERIVED,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT
 Shanghai,REAL, Guangzhou,REAL,645.23,DERIVED,17.603,DERIVED,36.65,DERIVED,ship_performance.csv fleet-wide mean (all ship types),REAL,0.048715,DERIVED,0.034115,DERIVED,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT
 Shanghai,REAL, Singapore,REAL,2046.66,DERIVED,17.603,DERIVED,116.27,DERIVED,ship_performance.csv fleet-wide mean (all ship types),REAL,0.048715,DERIVED,0.034115,DERIVED,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT
 Shanghai,REAL, Suez Canal,REAL,4472.96,DERIVED,17.603,DERIVED,254.1,DERIVED,ship_performance.csv fleet-wide mean (all ship types),REAL,0.048715,DERIVED,0.034115,DERIVED,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT
 Shanghai,REAL, Antwerp,REAL,4892.34,DERIVED,17.603,DERIVED,277.93,DERIVED,ship_performance.csv fleet-wide mean (all ship types),REAL,0.048715,DERIVED,0.034115,DERIVED,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT
 Shanghai,REAL, Plymouth,REAL,5169.83,DERIVED,17.603,DERIVED,293.69,DERIVED,ship_performance.csv fleet-wide mean (all ship types),REAL,0.048715,DERIVED,0.034115,DERIVED,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT
 Shanghai,REAL, London,REAL,4991.41,DERIVED,17.603,DERIVED,283.56,DERIVED,ship_performance.csv fleet-wide mean (all ship types),REAL,0.048715,DERIVED,0.034115,DERIVED,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT
 Shanghai,REAL, Rotterdam,REAL,4876.02,DERIVED,17.603,DERIVED,277.0,DERIVED,ship_performance.csv fleet-wide mean (all ship types),REAL,0.048715,DERIVED,0.034115,DERIVED,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT
 Shanghai,REAL, Hamburg,REAL,4651.0,DERIVED,17.603,DERIVED,264.22,DERIVED,ship_performance.csv fleet-wide mean (all ship types),REAL,0.048715,DERIVED,0.034115,DERIVED,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT
 Hong Kong,REAL, Guangzhou,REAL,58.23,DERIVED,17.603,DERIVED,3.31,DERIVED,ship_performance.csv fleet-wide mean (all ship types),REAL,0.048715,DERIVED,0.034115,DERIVED,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT
 Hong Kong,REAL, Singapore,REAL,1399.78,DERIVED,17.603,DERIVED,79.52,DERIVED,ship_performance.csv fleet-wide mean (all ship types),REAL,0.048715,DERIVED,0.034115,DERIVED,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT
 Hong Kong,REAL, Suez Canal,REAL,4322.85,DERIVED,17.603,DERIVED,245.58,DERIVED,ship_performance.csv fleet-wide mean (all ship types),REAL,0.048715,DERIVED,0.034115,DERIVED,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT
 Hong Kong,REAL, Antwerp,REAL,5056.37,DERIVED,17.603,DERIVED,287.25,DERIVED,ship_performance.csv fleet-wide mean (all ship types),REAL,0.048715,DERIVED,0.034115,DERIVED,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT
 Hong Kong,REAL, Plymouth,REAL,5361.69,DERIVED,17.603,DERIVED,304.59,DERIVED,ship_performance.csv fleet-wide mean (all ship types),REAL,0.048715,DERIVED,0.034115,DERIVED,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT
 Hong Kong,REAL, London,REAL,5173.21,DERIVED,17.603,DERIVED,293.88,DERIVED,ship_performance.csv fleet-wide mean (all ship types),REAL,0.048715,DERIVED,0.034115,DERIVED,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT
 Hong Kong,REAL, Rotterdam,REAL,5046.71,DERIVED,17.603,DERIVED,286.7,DERIVED,ship_performance.csv fleet-wide mean (all ship types),REAL,0.048715,DERIVED,0.034115,DERIVED,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT
 Hong Kong,REAL, Hamburg,REAL,4815.48,DERIVED,17.603,DERIVED,273.56,DERIVED,ship_performance.csv fleet-wide mean (all ship types),REAL,0.048715,DERIVED,0.034115,DERIVED,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT
 Guangzhou,REAL, Singapore,REAL,1425.21,DERIVED,17.603,DERIVED,80.96,DERIVED,ship_performance.csv fleet-wide mean (all ship types),REAL,0.048715,DERIVED,0.034115,DERIVED,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT
 Guangzhou,REAL, Suez Canal,REAL,4270.07,DERIVED,17.603,DERIVED,242.58,DERIVED,ship_performance.csv fleet-wide mean (all ship types),REAL,0.048715,DERIVED,0.034115,DERIVED,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT
 Guangzhou,REAL, Antwerp,REAL,4998.18,DERIVED,17.603,DERIVED,283.94,DERIVED,ship_performance.csv fleet-wide mean (all ship types),REAL,0.048715,DERIVED,0.034115,DERIVED,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT
 Guangzhou,REAL, Plymouth,REAL,5303.59,DERIVED,17.603,DERIVED,301.29,DERIVED,ship_performance.csv fleet-wide mean (all ship types),REAL,0.048715,DERIVED,0.034115,DERIVED,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT
 Guangzhou,REAL, London,REAL,5115.08,DERIVED,17.603,DERIVED,290.58,DERIVED,ship_performance.csv fleet-wide mean (all ship types),REAL,0.048715,DERIVED,0.034115,DERIVED,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT
 Guangzhou,REAL, Rotterdam,REAL,4988.54,DERIVED,17.603,DERIVED,283.39,DERIVED,ship_performance.csv fleet-wide mean (all ship types),REAL,0.048715,DERIVED,0.034115,DERIVED,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT
 Guangzhou,REAL, Hamburg,REAL,4757.3,DERIVED,17.603,DERIVED,270.26,DERIVED,ship_performance.csv fleet-wide mean (all ship types),REAL,0.048715,DERIVED,0.034115,DERIVED,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT
 Singapore,REAL, Suez Canal,REAL,4413.32,DERIVED,17.603,DERIVED,250.72,DERIVED,ship_performance.csv fleet-wide mean (all ship types),REAL,0.048715,DERIVED,0.034115,DERIVED,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT
 Singapore,REAL, Antwerp,REAL,5693.27,DERIVED,17.603,DERIVED,323.43,DERIVED,ship_performance.csv fleet-wide mean (all ship types),REAL,0.048715,DERIVED,0.034115,DERIVED,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT
 Singapore,REAL, Plymouth,REAL,6022.59,DERIVED,17.603,DERIVED,342.14,DERIVED,ship_performance.csv fleet-wide mean (all ship types),REAL,0.048715,DERIVED,0.034115,DERIVED,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT
 Singapore,REAL, London,REAL,5832.85,DERIVED,17.603,DERIVED,331.36,DERIVED,ship_performance.csv fleet-wide mean (all ship types),REAL,0.048715,DERIVED,0.034115,DERIVED,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT
 Singapore,REAL, Rotterdam,REAL,5697.32,DERIVED,17.603,DERIVED,323.66,DERIVED,ship_performance.csv fleet-wide mean (all ship types),REAL,0.048715,DERIVED,0.034115,DERIVED,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT
 Singapore,REAL, Hamburg,REAL,5476.8,DERIVED,17.603,DERIVED,311.13,DERIVED,ship_performance.csv fleet-wide mean (all ship types),REAL,0.048715,DERIVED,0.034115,DERIVED,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT
