port_name,country,lat,lon,source_file,lat_lon_status,vessel_count_total
Arzew,Algeria,35.81923502,-0.267622305,world_ports_master.csv,REAL,1147
Yangpu,China,19.7673758,109.1758947,world_ports_master.csv,REAL,1801
Pichilingue,Mexico,24.27059407,-110.3307462,world_ports_master.csv,REAL,424
Trieste,Italy,45.62262646,13.7898372,world_ports_master.csv,REAL,1915
Duba Bulk Plant Tanker Terminal,Saudi Arabia,27.32760527,35.73491023,world_ports_master.csv,REAL,77
Yantai,China,37.55733184,121.4106202,world_ports_master.csv,REAL,1925
Progreso,Mexico,21.34384604,-89.67539375,world_ports_master.csv,REAL,587
Vostochnyy,Russian Federation,42.73190378,133.0528358,world_ports_master.csv,REAL,1365
Rosarito,Mexico,32.37533608,-117.0700294,world_ports_master.csv,REAL,134
Terneuzen,The Netherlands,51.31267679,3.813210078,world_ports_master.csv,REAL,5581
Bunbury,Australia,-33.32230005,115.6645375,world_ports_master.csv,REAL,436
Yantian,China,22.58487742,114.2935158,world_ports_master.csv,REAL,3421
Salina Cruz,Mexico,16.19017688,-95.18846509,world_ports_master.csv,REAL,262
Milner Bay,Australia,-13.85877777,136.4230736,world_ports_master.csv,REAL,144
Yingkou,China,40.72688954,122.0429706,world_ports_master.csv,REAL,1134
Tuban,Indonesia,-6.80448666,111.9012587,world_ports_master.csv,REAL,1000
San Miguel De Cozumel,Mexico,20.57479256,-87.13206904,world_ports_master.csv,REAL,113
Guangzhou (Nansha),China,23.02754052,113.4836,world_ports_master.csv,REAL,9654
Suzhou (Zhangjiagang),China,31.97462356,120.4288102,world_ports_master.csv,REAL,2849
Bejaia,Algeria,36.74560772,5.082295103,world_ports_master.csv,REAL,567
Tampico,Mexico,22.24980975,-97.82483356,world_ports_master.csv,REAL,680
Andoany,Madagascar,-13.40261812,48.21470202,world_ports_master.csv,REAL,21
Zhanjiang,China,21.21212795,110.4084103,world_ports_master.csv,REAL,2532
Topolobampo,Mexico,25.58916703,-109.055862,world_ports_master.csv,REAL,302
Newport News,United States,36.9838661,-76.43537098,world_ports_master.csv,REAL,407
Zhapu,China,30.63688515,121.1568835,world_ports_master.csv,REAL,2196
Jeddah,Saudi Arabia,21.46079659,39.16640594,world_ports_master.csv,REAL,3555
Picton,New Zealand,-41.28305426,174.0027603,world_ports_master.csv,REAL,54
Vyborg,Russian Federation,60.70438213,28.73659691,world_ports_master.csv,REAL,207
Burnie,Australia,-41.05338929,145.9106378,world_ports_master.csv,REAL,165
Bergen,Norway,60.4016113,5.227007273,world_ports_master.csv,REAL,1077
Makassar,Indonesia,-5.11187581,119.4168045,world_ports_master.csv,REAL,2101
Zhouliwang,China,37.70154909,121.0829932,world_ports_master.csv,REAL,1930
Vlissingen,The Netherlands,51.4561153,3.695779737,world_ports_master.csv,REAL,4257
Djen Djen,Algeria,36.82059245,5.886895265,world_ports_master.csv,REAL,385
Zhoushan,China,30.05635032,122.1008368,world_ports_master.csv,REAL,6370
Amuay (Bahia De Amuay),Venezuela,11.74458594,-70.20535531,world_ports_master.csv,REAL,231
Haifeng power,China,22.75341512,115.0438556,world_ports_master.csv,REAL,77
Ghazaouet,Algeria,35.1021977,-1.862537591,world_ports_master.csv,REAL,118
Tuxpan,Mexico,20.95612428,-97.33341544,world_ports_master.csv,REAL,403
Bata,Equatorial Guinea,1.825625916,9.739146968,world_ports_master.csv,REAL,184
Veracruz,Mexico,19.22121795,-96.15433676,world_ports_master.csv,REAL,2061
Aden,Yemen,12.78186553,44.95494325,world_ports_master.csv,REAL,420
Luba,Equatorial Guinea,3.463105583,8.546939103,world_ports_master.csv,REAL,48
Hudaydah (Hodeidah),Yemen,14.8331155,42.94343741,world_ports_master.csv,REAL,283
Malabo,Equatorial Guinea,3.769523972,8.734459388,world_ports_master.csv,REAL,336
Mukalla,Yemen,14.52061091,49.15123019,world_ports_master.csv,REAL,149
Batangas City,Philippines,13.74477092,121.0239173,world_ports_master.csv,REAL,2021
Agadir,Morocco,30.43857835,-9.649161718,world_ports_master.csv,REAL,640
Buco,Philippines,8.517492767,124.752947,world_ports_master.csv,REAL,763
Casablanca,Morocco,33.6066001,-7.578850396,world_ports_master.csv,REAL,2427
Butuan City,Philippines,9.276185803,125.5093629,world_ports_master.csv,REAL,37
Jorf Lasfar,Morocco,33.11351891,-8.609401598,world_ports_master.csv,REAL,1414
Cagayan de Oro,Philippines,8.486794083,124.7083013,world_ports_master.csv,REAL,981
Cebu,Philippines,10.31413032,123.9369534,world_ports_master.csv,REAL,2061
Davao,Philippines,7.17898108,125.6594664,world_ports_master.csv,REAL,1790
General Santos,Philippines,6.060167101,125.1478439,world_ports_master.csv,REAL,739
Mohammedia,Morocco,33.719245,-7.395453829,world_ports_master.csv,REAL,438
Antsiranana (Diego Suarez),Madagascar,-12.26905591,49.28869019,world_ports_master.csv,REAL,58
Iligan,Philippines,8.232619905,124.2274677,world_ports_master.csv,REAL,259
Mostaganem,Algeria,35.93460181,0.076892121,world_ports_master.csv,REAL,251
Oran,Algeria,35.71085451,-0.638375154,world_ports_master.csv,REAL,695
Skikda (Port Methanier),Algeria,36.87271664,6.950761304,world_ports_master.csv,REAL,596
Aliaga,Türkiye,38.80383336,26.93499829,world_ports_master.csv,REAL,795
Port Akdeniz,Türkiye,36.83889937,30.60620066,world_ports_master.csv,REAL,589
Bandirma,Türkiye,40.35306462,27.95774334,world_ports_master.csv,REAL,1025
Botas,Türkiye,36.87671576,35.91857273,world_ports_master.csv,REAL,528
Botas Natural Gas Terminal,Türkiye,40.9957964,27.96150412,world_ports_master.csv,REAL,826
Delta Terminal,Türkiye,36.86084344,36.15048769,world_ports_master.csv,REAL,313
Derince (Izmit-Kocaeli),Türkiye,40.75824677,29.77991916,world_ports_master.csv,REAL,1678
Eregli,Türkiye,41.26435669,31.41680907,world_ports_master.csv,REAL,707
Newcastle,Australia,-32.89445588,151.7577471,world_ports_master.csv,REAL,2196
Port Nador,Morocco,35.28304917,-2.923755551,world_ports_master.csv,REAL,274
Famagusta,Cyprus,35.23242113,33.96802252,world_ports_master.csv,REAL,585
"Jimenez, Ozamis",Philippines,8.260336175,123.8533364,world_ports_master.csv,REAL,80
Safi,Morocco,32.308167,-9.246595804,world_ports_master.csv,REAL,430
Manila,Philippines,14.59160879,120.8723998,world_ports_master.csv,REAL,8297
Tangier-Mediterranean,Morocco,35.87985242,-5.511023901,world_ports_master.csv,REAL,4177
Masao,Philippines,9.527274017,125.8400651,world_ports_master.csv,REAL,91
Åhus,Sweden,55.92880026,14.31794342,world_ports_master.csv,REAL,210
Nasipit Port,Philippines,8.981512096,125.3368598,world_ports_master.csv,REAL,133
Brofjorden,Sweden,58.34819267,11.42568914,world_ports_master.csv,REAL,896
Ormoc,Philippines,11.00605657,124.6025404,world_ports_master.csv,REAL,96
Falkenberg,Sweden,56.89932293,12.46702899,world_ports_master.csv,REAL,236
Puerto Princesa,Philippines,9.736639064,118.7327548,world_ports_master.csv,REAL,86
Gävle,Sweden,60.68762643,17.24581526,world_ports_master.csv,REAL,522
Subic Bay,Philippines,14.80314981,120.2913574,world_ports_master.csv,REAL,868
Göteborg,Sweden,57.70859887,11.88959944,world_ports_master.csv,REAL,3679
Surigao City,Philippines,9.815652287,125.4545559,world_ports_master.csv,REAL,23
Halmstad,Sweden,56.65646298,12.86634913,world_ports_master.csv,REAL,603
Norfolk,United States,36.84962748,-76.33049228,world_ports_master.csv,REAL,1162
Villanueva,Philippines,8.607068203,124.7600253,world_ports_master.csv,REAL,259
Helsingborg,Sweden,55.98575725,12.73910204,world_ports_master.csv,REAL,879
Gemlik,Türkiye,40.41272035,29.10348004,world_ports_master.csv,REAL,1305
Lyttelton,New Zealand,-43.60674767,172.7240293,world_ports_master.csv,REAL,668
Husum,Sweden,63.32298859,19.16519768,world_ports_master.csv,REAL,316
Golcuk,Türkiye,40.71919647,29.86667264,world_ports_master.csv,REAL,1128
Brevik,Norway,59.06385806,9.692281148,world_ports_master.csv,REAL,512
Kalmar,Sweden,56.65789386,16.36932542,world_ports_master.csv,REAL,317
Güllük,Türkiye,37.25373921,27.60607436,world_ports_master.csv,REAL,192
Haikou,China,20.03232283,110.2808268,world_ports_master.csv,REAL,361
Karlshamn,Sweden,56.16106721,14.79940067,world_ports_master.csv,REAL,801
Haydarpasa,Türkiye,41.00022011,29.01540042,world_ports_master.csv,REAL,382
Zamboanga,Philippines,6.908366515,122.0605671,world_ports_master.csv,REAL,189
Ehoala,Madagascar,-25.06680991,46.96379773,world_ports_master.csv,REAL,74
Frederiksvaerk,Denmark,55.96279548,12.01281698,world_ports_master.csv,REAL,412
Luleå,Sweden,65.55560307,22.25011654,world_ports_master.csv,REAL,401
Hopa,Türkiye,41.41066171,41.43080033,world_ports_master.csv,REAL,86
Onslow,Australia,-21.69639497,115.0017981,world_ports_master.csv,REAL,227
Malmö,Sweden,55.62686072,13.02682828,world_ports_master.csv,REAL,786
Iskenderun,Türkiye,36.60077591,36.19312026,world_ports_master.csv,REAL,1113
Batumi,Georgia,41.64860022,41.66863523,world_ports_master.csv,REAL,489
Thamshamm,Norway,63.31399096,9.852052612,world_ports_master.csv,REAL,276
Istanbul,Türkiye,40.96999344,28.73553234,world_ports_master.csv,REAL,9107
Oakland,United States,37.80816366,-122.3088942,world_ports_master.csv,REAL,1060
Moss,Sweden,59.44422932,10.66562711,world_ports_master.csv,REAL,397
Kulevi Oil Terminal,Georgia,42.26971683,41.63981523,world_ports_master.csv,REAL,116
Punta Lobitos,Peru,-10.10231349,-78.17935366,world_ports_master.csv,REAL,89
Izmir,Türkiye,38.4431577,27.15610909,world_ports_master.csv,REAL,1434
Tauranga,New Zealand,-37.66048847,176.1846333,world_ports_master.csv,REAL,1293
Norrköping,Sweden,58.61788863,16.22569715,world_ports_master.csv,REAL,881
Poti,Georgia,42.15927035,41.65710885,world_ports_master.csv,REAL,820
"Wilmington, NC",United States,34.20514713,-77.95014843,world_ports_master.csv,REAL,619
Bajo Grande,Venezuela,10.45828887,-71.58177702,world_ports_master.csv,REAL,129
Gebze,Türkiye,40.76656465,29.54451527,world_ports_master.csv,REAL,807
Nynäshamn,Sweden,58.91643073,17.96255364,world_ports_master.csv,REAL,207
Ancona,Italy,43.62166393,13.50209791,world_ports_master.csv,REAL,451
Bayonne,France,43.52825322,-1.497927789,world_ports_master.csv,REAL,404
Djupviken,Norway,63.75286522,11.30506543,world_ports_master.csv,REAL,412
Oskarshamn,Sweden,57.26745879,16.4672202,world_ports_master.csv,REAL,135
Tromsø,Norway,69.67410683,18.99273463,world_ports_master.csv,REAL,631
Bordeaux,France,44.90197412,-0.533966695,world_ports_master.csv,REAL,531
Karabiga,Türkiye,40.43477315,27.17613452,world_ports_master.csv,REAL,420
Haimen,China,28.83311121,121.5625881,world_ports_master.csv,REAL,399
Oxelösund,Sweden,58.67437856,17.12574089,world_ports_master.csv,REAL,515
Grenaa,Denmark,56.41625529,10.92704029,world_ports_master.csv,REAL,244
Calais,France,50.96799703,1.876083662,world_ports_master.csv,REAL,206
Mersin,Türkiye,36.80918666,34.65352386,world_ports_master.csv,REAL,3334
Majunga,Madagascar,-15.72612557,46.31131115,world_ports_master.csv,REAL,77
Piteå,Sweden,65.25667411,21.56056745,world_ports_master.csv,REAL,294
Aberdeen,United Kingdom,57.13992912,-2.076616768,world_ports_master.csv,REAL,766
Dunkirk,France,51.020683,2.266776649,world_ports_master.csv,REAL,2127
